"","X","teamRslt","teamAST","teamTO","teamSTL","teamBLK","teamPF","teamFG.","team2P.","team3P.","teamFT.","teamTRB","opptAST","opptTO","opptSTL","opptBLK","opptPF","opptFG.","oppt2P.","oppt3P.","opptFT.","opptTRB"
"1",1,"Loss",26,13,11,10,19,0.3556,0.4138,0.25,0.6,39,22,21,7,5,21,0.4557,0.4915,0.35,0.6818,54
"2",2,"Win",22,21,7,5,21,0.4557,0.4915,0.35,0.6818,54,26,13,11,10,19,0.3556,0.4138,0.25,0.6,39
"3",3,"Loss",24,16,4,2,23,0.52,0.5323,0.4615,0.8214,41,25,8,8,5,20,0.5443,0.5556,0.5,0.8125,36
"4",4,"Win",25,8,8,5,20,0.5443,0.5556,0.5,0.8125,36,24,16,4,2,23,0.52,0.5323,0.4615,0.8214,41
"5",5,"Win",22,12,9,5,25,0.4706,0.5,0.3333,0.7778,40,24,14,6,5,21,0.4935,0.5469,0.2308,0.3871,46
"6",6,"Loss",24,14,6,5,21,0.4935,0.5469,0.2308,0.3871,46,22,12,9,5,25,0.4706,0.5,0.3333,0.7778,40
"7",7,"Loss",19,22,9,5,22,0.375,0.4143,0.2222,0.4545,54,18,16,13,11,14,0.3529,0.3833,0.28,0.8095,47
"8",8,"Win",18,16,13,11,14,0.3529,0.3833,0.28,0.8095,47,19,22,9,5,22,0.375,0.4143,0.2222,0.4545,54
"9",9,"Win",22,19,3,10,16,0.4744,0.4776,0.4545,0.6875,46,18,10,12,8,18,0.3626,0.3649,0.3529,0.8421,42
"10",10,"Loss",18,10,12,8,18,0.3626,0.3649,0.3529,0.8421,42,22,19,3,10,16,0.4744,0.4776,0.4545,0.6875,46
"11",11,"Win",28,20,12,3,24,0.4937,0.5577,0.3704,0.7391,45,21,16,12,4,15,0.443,0.4603,0.375,0.7692,36
"12",12,"Loss",21,16,12,4,15,0.443,0.4603,0.375,0.7692,36,28,20,12,3,24,0.4937,0.5577,0.3704,0.7391,45
"13",13,"Loss",14,21,10,5,29,0.4048,0.4179,0.3529,0.8125,40,21,18,8,10,19,0.4177,0.4429,0.2222,0.7576,46
"14",14,"Win",21,18,8,10,19,0.4177,0.4429,0.2222,0.7576,46,14,21,10,5,29,0.4048,0.4179,0.3529,0.8125,40
"15",15,"Win",22,16,9,8,21,0.475,0.5333,0.3,0.6538,43,26,15,7,6,20,0.4375,0.4921,0.2353,0.913,43
"16",16,"Loss",26,15,7,6,20,0.4375,0.4921,0.2353,0.913,43,22,16,9,8,21,0.475,0.5333,0.3,0.6538,43
"17",17,"Loss",20,16,8,5,32,0.3765,0.3333,0.5,0.7308,40,24,14,10,8,25,0.427,0.4267,0.4286,0.7381,61
"18",18,"Win",24,14,10,8,25,0.427,0.4267,0.4286,0.7381,61,20,16,8,5,32,0.3765,0.3333,0.5,0.7308,40
"19",19,"Win",19,18,9,3,20,0.3837,0.4058,0.2941,0.6957,49,16,18,10,12,23,0.4,0.4746,0.1905,0.7727,44
"20",20,"Loss",16,18,10,12,23,0.4,0.4746,0.1905,0.7727,44,19,18,9,3,20,0.3837,0.4058,0.2941,0.6957,49
"21",21,"Loss",24,21,14,4,25,0.3837,0.4306,0.1429,0.8,44,25,22,12,9,27,0.5135,0.5593,0.3333,0.6897,39
"22",22,"Win",25,22,12,9,27,0.5135,0.5593,0.3333,0.6897,39,24,21,14,4,25,0.3837,0.4306,0.1429,0.8,44
"23",23,"Loss",21,25,6,2,29,0.5,0.5185,0.4444,0.8125,45,19,12,10,5,20,0.506,0.5238,0.45,0.8214,30
"24",24,"Win",19,12,10,5,20,0.506,0.5238,0.45,0.8214,30,21,25,6,2,29,0.5,0.5185,0.4444,0.8125,45
"25",25,"Loss",18,18,6,5,20,0.3766,0.3667,0.4118,0.8261,48,27,13,9,4,21,0.443,0.5,0.2632,0.6875,39
"26",26,"Win",27,13,9,4,21,0.443,0.5,0.2632,0.6875,39,18,18,6,5,20,0.3766,0.3667,0.4118,0.8261,48
"27",27,"Loss",22,14,5,5,17,0.381,0.431,0.2692,0.6667,45,24,13,8,8,24,0.4884,0.5211,0.3333,0.7222,46
"28",28,"Win",24,13,8,8,24,0.4884,0.5211,0.3333,0.7222,46,22,14,5,5,17,0.381,0.431,0.2692,0.6667,45
"29",29,"Loss",19,19,5,5,16,0.3976,0.4561,0.2692,0.5926,52,18,11,10,9,23,0.3647,0.3636,0.3684,0.875,41
"30",30,"Win",18,11,10,9,23,0.3647,0.3636,0.3684,0.875,41,19,19,5,5,16,0.3976,0.4561,0.2692,0.5926,52
"31",31,"Win",26,19,12,5,17,0.4651,0.4706,0.4444,0.9167,46,22,18,9,4,18,0.4459,0.4667,0.3571,0.8095,36
"32",32,"Loss",22,18,9,4,18,0.4459,0.4667,0.3571,0.8095,36,26,19,12,5,17,0.4651,0.4706,0.4444,0.9167,46
"33",33,"Win",34,17,7,4,21,0.6377,0.678,0.4,0.7667,41,23,17,7,1,25,0.4051,0.4068,0.4,0.5185,33
"34",34,"Loss",23,17,7,1,25,0.4051,0.4068,0.4,0.5185,33,34,17,7,4,21,0.6377,0.678,0.4,0.7667,41
"35",35,"Win",22,21,8,2,18,0.4222,0.5,0.2667,0.8621,58,23,13,12,4,26,0.4706,0.5238,0.3182,0.8824,36
"36",36,"Loss",23,13,12,4,26,0.4706,0.5238,0.3182,0.8824,36,22,21,8,2,18,0.4222,0.5,0.2667,0.8621,58
"37",37,"Loss",18,21,4,5,18,0.4648,0.5098,0.35,0.8462,41,27,14,10,0,22,0.4286,0.3542,0.5278,0.8667,41
"38",38,"Win",27,14,10,0,22,0.4286,0.3542,0.5278,0.8667,41,18,21,4,5,18,0.4648,0.5098,0.35,0.8462,41
"39",39,"Loss",19,15,7,6,21,0.4118,0.4386,0.3571,0.5,44,23,12,7,4,16,0.4568,0.4776,0.3571,0.6429,42
"40",40,"Win",23,12,7,4,16,0.4568,0.4776,0.3571,0.6429,42,19,15,7,6,21,0.4118,0.4386,0.3571,0.5,44
"41",41,"Loss",17,12,7,4,34,0.3596,0.3973,0.1875,0.8125,43,17,11,4,10,17,0.3678,0.4286,0.1176,0.7222,53
"42",42,"Win",17,11,4,10,17,0.3678,0.4286,0.1176,0.7222,53,17,12,7,4,34,0.3596,0.3973,0.1875,0.8125,43
"43",43,"Loss",17,12,4,0,25,0.3596,0.3651,0.3462,0.7917,44,18,12,2,10,22,0.5132,0.5075,0.5556,0.7188,47
"44",44,"Win",18,12,2,10,22,0.5132,0.5075,0.5556,0.7188,47,17,12,4,0,25,0.3596,0.3651,0.3462,0.7917,44
"45",45,"Loss",20,10,2,5,19,0.4111,0.4286,0.3077,0.5789,39,15,14,6,5,20,0.4348,0.4691,0.1818,0.7143,52
"46",46,"Win",15,14,6,5,20,0.4348,0.4691,0.1818,0.7143,52,20,10,2,5,19,0.4111,0.4286,0.3077,0.5789,39
"47",47,"Win",24,12,12,4,26,0.4524,0.4839,0.3636,0.7778,37,15,20,7,7,23,0.5,0.5192,0.4375,0.7143,38
"48",48,"Loss",15,20,7,7,23,0.5,0.5192,0.4375,0.7143,38,24,12,12,4,26,0.4524,0.4839,0.3636,0.7778,37
"49",49,"Win",22,14,9,4,22,0.4545,0.4531,0.4615,0.8235,40,21,19,5,5,24,0.45,0.4333,0.5,0.7059,36
"50",50,"Loss",21,19,5,5,24,0.45,0.4333,0.5,0.7059,36,22,14,9,4,22,0.4545,0.4531,0.4615,0.8235,40
"51",51,"Win",24,9,8,4,12,0.4286,0.4444,0.381,0.6923,35,20,15,7,4,14,0.4359,0.4828,0.3,0.7059,46
"52",52,"Loss",20,15,7,4,14,0.4359,0.4828,0.3,0.7059,46,24,9,8,4,12,0.4286,0.4444,0.381,0.6923,35
"53",53,"Loss",19,16,15,13,26,0.3627,0.3625,0.3636,0.8,47,16,24,10,14,19,0.3939,0.4545,0.1818,0.8889,67
"54",54,"Win",16,24,10,14,19,0.3939,0.4545,0.1818,0.8889,67,19,16,15,13,26,0.3627,0.3625,0.3636,0.8,47
"55",55,"Loss",13,15,5,3,21,0.5158,0.5946,0.2381,0.65,47,26,8,9,8,16,0.5181,0.569,0.4,0.8519,32
"56",56,"Win",26,8,9,8,16,0.5181,0.569,0.4,0.8519,32,13,15,5,3,21,0.5158,0.5946,0.2381,0.65,47
"57",57,"Loss",23,14,8,5,31,0.4512,0.4688,0.3889,0.76,37,20,17,6,5,19,0.4568,0.4697,0.4,0.7297,41
"58",58,"Win",20,17,6,5,19,0.4568,0.4697,0.4,0.7297,41,23,14,8,5,31,0.4512,0.4688,0.3889,0.76,37
"59",59,"Win",13,17,7,9,21,0.4267,0.4737,0.2778,0.8696,44,21,12,11,6,20,0.3295,0.3662,0.1765,0.84,41
"60",60,"Loss",21,12,11,6,20,0.3295,0.3662,0.1765,0.84,41,13,17,7,9,21,0.4267,0.4737,0.2778,0.8696,44
"61",61,"Win",28,16,11,8,18,0.4194,0.4203,0.4167,0.5833,53,19,18,12,4,16,0.3542,0.4143,0.1923,0.6667,56
"62",62,"Loss",19,18,12,4,16,0.3542,0.4143,0.1923,0.6667,56,28,16,11,8,18,0.4194,0.4203,0.4167,0.5833,53
"63",63,"Loss",19,12,13,2,14,0.4286,0.4865,0.1765,0.75,38,31,22,6,7,23,0.6125,0.6,0.64,0.8,43
"64",64,"Win",31,22,6,7,23,0.6125,0.6,0.64,0.8,43,19,12,13,2,14,0.4286,0.4865,0.1765,0.75,38
"65",65,"Loss",19,16,9,0,21,0.4699,0.4925,0.375,0.6207,42,32,17,8,9,18,0.519,0.5818,0.375,0.6667,37
"66",66,"Win",32,17,8,9,18,0.519,0.5818,0.375,0.6667,37,19,16,9,0,21,0.4699,0.4925,0.375,0.6207,42
"67",67,"Loss",17,17,11,7,22,0.4935,0.5156,0.3846,0.8636,32,29,18,8,6,18,0.5676,0.5738,0.5385,0.8261,33
"68",68,"Win",29,18,8,6,18,0.5676,0.5738,0.5385,0.8261,33,17,17,11,7,22,0.4935,0.5156,0.3846,0.8636,32
"69",69,"Win",22,14,7,2,34,0.4881,0.5441,0.25,0.7179,48,21,16,6,5,31,0.4286,0.4082,0.4762,0.7692,33
"70",70,"Loss",21,16,6,5,31,0.4286,0.4082,0.4762,0.7692,33,22,14,7,2,34,0.4881,0.5441,0.25,0.7179,48
"71",71,"Loss",14,18,8,2,18,0.4304,0.4194,0.4706,0.8,41,18,15,12,5,10,0.5065,0.56,0.4074,0.6111,39
"72",72,"Win",18,15,12,5,10,0.5065,0.56,0.4074,0.6111,39,14,18,8,2,18,0.4304,0.4194,0.4706,0.8,41
"73",73,"Loss",19,16,3,10,17,0.4286,0.4722,0.2632,0.6111,45,26,11,7,1,17,0.4891,0.4444,0.8182,0.8421,46
"74",74,"Win",26,11,7,1,17,0.4891,0.4444,0.8182,0.8421,46,19,16,3,10,17,0.4286,0.4722,0.2632,0.6111,45
"75",75,"Loss",18,24,8,8,17,0.4531,0.4792,0.375,0.7097,36,18,11,9,3,24,0.4444,0.4348,0.4762,0.8824,39
"76",76,"Win",18,11,9,3,24,0.4444,0.4348,0.4762,0.8824,39,18,24,8,8,17,0.4531,0.4792,0.375,0.7097,36
"77",77,"Win",20,11,12,1,20,0.494,0.569,0.32,0.7,38,27,21,4,9,21,0.4648,0.4898,0.4091,0.9091,37
"78",78,"Loss",27,21,4,9,21,0.4648,0.4898,0.4091,0.9091,37,20,11,12,1,20,0.494,0.569,0.32,0.7,38
"79",79,"Loss",19,17,5,5,20,0.3544,0.3636,0.3077,0.8261,33,27,15,11,8,20,0.5195,0.5455,0.4545,0.6923,46
"80",80,"Win",27,15,11,8,20,0.5195,0.5455,0.4545,0.6923,46,19,17,5,5,20,0.3544,0.3636,0.3077,0.8261,33
"81",81,"Win",24,7,7,5,17,0.4643,0.5,0.4063,1,44,19,13,3,2,19,0.3372,0.3281,0.3636,0.8462,54
"82",82,"Loss",19,13,3,2,19,0.3372,0.3281,0.3636,0.8462,54,24,7,7,5,17,0.4643,0.5,0.4063,1,44
"83",83,"Loss",22,12,11,7,19,0.3977,0.4179,0.3333,0.7586,38,33,15,7,4,22,0.5465,0.5333,0.5769,0.7895,49
"84",84,"Win",33,15,7,4,22,0.5465,0.5333,0.5769,0.7895,49,22,12,11,7,19,0.3977,0.4179,0.3333,0.7586,38
"85",85,"Win",30,11,9,7,18,0.5,0.5441,0.35,0.8,45,24,15,7,4,17,0.4795,0.44,0.5652,0.7222,29
"86",86,"Loss",24,15,7,4,17,0.4795,0.44,0.5652,0.7222,29,30,11,9,7,18,0.5,0.5441,0.35,0.8,45
"87",87,"Loss",20,15,8,8,22,0.4444,0.4667,0.3333,0.6923,42,21,12,9,10,17,0.4176,0.4286,0.3571,0.88,51
"88",88,"Win",21,12,9,10,17,0.4176,0.4286,0.3571,0.88,51,20,15,8,8,22,0.4444,0.4667,0.3333,0.6923,42
"89",89,"Loss",11,19,3,7,17,0.3418,0.3559,0.3,0.8636,48,25,8,11,2,17,0.4713,0.4783,0.4444,0.8462,45
"90",90,"Win",25,8,11,2,17,0.4713,0.4783,0.4444,0.8462,45,11,19,3,7,17,0.3418,0.3559,0.3,0.8636,48
"91",91,"Loss",13,13,5,3,13,0.3871,0.4366,0.2273,0.7778,48,29,9,12,5,15,0.6154,0.6552,0.5,0.6154,37
"92",92,"Win",29,9,12,5,15,0.6154,0.6552,0.5,0.6154,37,13,13,5,3,13,0.3871,0.4366,0.2273,0.7778,48
"93",93,"Loss",21,13,5,2,17,0.3974,0.4386,0.2857,0.8571,38,13,14,7,5,25,0.4568,0.5323,0.2105,0.6957,43
"94",94,"Win",13,14,7,5,25,0.4568,0.5323,0.2105,0.6957,43,21,13,5,2,17,0.3974,0.4386,0.2857,0.8571,38
"95",95,"Win",24,19,12,2,18,0.4348,0.4127,0.4828,0.6364,43,23,25,7,13,24,0.527,0.6122,0.36,0.875,38
"96",96,"Loss",23,25,7,13,24,0.527,0.6122,0.36,0.875,38,24,19,12,2,18,0.4348,0.4127,0.4828,0.6364,43
"97",97,"Loss",23,12,4,5,22,0.4186,0.4179,0.4211,0.7647,43,27,9,7,7,12,0.4762,0.4872,0.3333,0.7083,43
"98",98,"Win",27,9,7,7,12,0.4762,0.4872,0.3333,0.7083,43,23,12,4,5,22,0.4186,0.4179,0.4211,0.7647,43
"99",99,"Loss",16,17,11,2,24,0.3571,0.4259,0.2333,0.84,37,24,19,10,9,22,0.473,0.5306,0.36,0.8529,46
"100",100,"Win",24,19,10,9,22,0.473,0.5306,0.36,0.8529,46,16,17,11,2,24,0.3571,0.4259,0.2333,0.84,37
"101",101,"Loss",26,15,6,9,19,0.4487,0.4394,0.5,0.84,35,23,15,9,11,21,0.4457,0.5,0.3333,0.7727,52
"102",102,"Win",23,15,9,11,21,0.4457,0.5,0.3333,0.7727,52,26,15,6,9,19,0.4487,0.4394,0.5,0.84,35
"103",103,"Win",29,12,8,11,24,0.4624,0.4697,0.4444,0.6786,50,26,13,4,12,20,0.4368,0.4308,0.4545,0.8889,39
"104",104,"Loss",26,13,4,12,20,0.4368,0.4308,0.4545,0.8889,39,29,12,8,11,24,0.4624,0.4697,0.4444,0.6786,50
"105",105,"Loss",12,19,7,1,15,0.375,0.4576,0.1429,0.5882,40,25,12,8,5,18,0.5195,0.566,0.4167,0.8125,40
"106",106,"Win",25,12,8,5,18,0.5195,0.566,0.4167,0.8125,40,12,19,7,1,15,0.375,0.4576,0.1429,0.5882,40
"107",107,"Loss",18,15,10,7,14,0.4118,0.4576,0.3077,0.8889,41,24,17,8,3,15,0.4368,0.4769,0.3182,0.5,51
"108",108,"Win",24,17,8,3,15,0.4368,0.4769,0.3182,0.5,51,18,15,10,7,14,0.4118,0.4576,0.3077,0.8889,41
"109",109,"Loss",25,20,8,6,27,0.4105,0.4394,0.3448,0.8571,44,26,19,9,5,17,0.4198,0.4412,0.3077,0.8235,44
"110",110,"Win",26,19,9,5,17,0.4198,0.4412,0.3077,0.8235,44,25,20,8,6,27,0.4105,0.4394,0.3448,0.8571,44
"111",111,"Win",19,15,5,6,16,0.4167,0.5,0.1818,0.6,43,18,24,8,9,12,0.3333,0.38,0.2105,0.75,47
"112",112,"Loss",18,24,8,9,12,0.3333,0.38,0.2105,0.75,47,19,15,5,6,16,0.4167,0.5,0.1818,0.6,43
"113",113,"Win",28,14,7,5,20,0.5301,0.5672,0.375,0.7368,49,22,10,10,9,18,0.3846,0.3816,0.4,0.6667,41
"114",114,"Loss",22,10,10,9,18,0.3846,0.3816,0.4,0.6667,41,28,14,7,5,20,0.5301,0.5672,0.375,0.7368,49
"115",115,"Loss",17,20,6,7,22,0.35,0.3676,0.25,0.8,41,22,20,11,9,18,0.4474,0.4821,0.35,0.6818,46
"116",116,"Win",22,20,11,9,18,0.4474,0.4821,0.35,0.6818,46,17,20,6,7,22,0.35,0.3676,0.25,0.8,41
"117",117,"Win",20,22,10,5,16,0.4512,0.4688,0.3889,0.5714,49,18,20,15,2,22,0.369,0.451,0.2424,0.7391,43
"118",118,"Loss",18,20,15,2,22,0.369,0.451,0.2424,0.7391,43,20,22,10,5,16,0.4512,0.4688,0.3889,0.5714,49
"119",119,"Loss",21,10,7,1,28,0.4444,0.5254,0.2273,0.871,38,21,12,4,6,23,0.4643,0.4921,0.381,0.6571,47
"120",120,"Win",21,12,4,6,23,0.4643,0.4921,0.381,0.6571,47,21,10,7,1,28,0.4444,0.5254,0.2273,0.871,38
"121",121,"Loss",11,19,10,3,14,0.3378,0.4118,0.1739,0.6957,48,21,12,12,7,30,0.4458,0.4848,0.2941,0.8889,37
"122",122,"Win",21,12,12,7,30,0.4458,0.4848,0.2941,0.8889,37,11,19,10,3,14,0.3378,0.4118,0.1739,0.6957,48
"123",123,"Loss",23,17,4,6,20,0.4932,0.549,0.3636,0.7419,33,15,15,8,3,21,0.4878,0.5,0.4375,0.75,42
"124",124,"Win",15,15,8,3,21,0.4878,0.5,0.4375,0.75,42,23,17,4,6,20,0.4932,0.549,0.3636,0.7419,33
"125",125,"Loss",20,16,7,1,26,0.4186,0.463,0.3438,0.619,39,28,17,11,4,22,0.5385,0.6167,0.2778,0.7391,44
"126",126,"Win",28,17,11,4,22,0.5385,0.6167,0.2778,0.7391,44,20,16,7,1,26,0.4186,0.463,0.3438,0.619,39
"127",127,"Loss",25,20,7,4,11,0.411,0.44,0.3478,0.6667,29,30,15,13,8,19,0.5542,0.6061,0.3529,0.8889,46
"128",128,"Win",30,15,13,8,19,0.5542,0.6061,0.3529,0.8889,46,25,20,7,4,11,0.411,0.44,0.3478,0.6667,29
"129",129,"Win",23,22,10,8,19,0.4932,0.5167,0.3846,0.9524,38,22,21,6,3,19,0.4167,0.4348,0.3333,0.8889,41
"130",130,"Loss",22,21,6,3,19,0.4167,0.4348,0.3333,0.8889,41,23,22,10,8,19,0.4932,0.5167,0.3846,0.9524,38
"131",131,"Win",20,14,9,3,22,0.5325,0.5938,0.2308,0.72,44,19,13,10,4,22,0.4267,0.4545,0.35,0.6333,31
"132",132,"Loss",19,13,10,4,22,0.4267,0.4545,0.35,0.6333,31,20,14,9,3,22,0.5325,0.5938,0.2308,0.72,44
"133",133,"Win",21,21,11,6,21,0.5128,0.5397,0.4,0.7895,38,23,20,13,4,24,0.4359,0.5,0.2222,0.8636,36
"134",134,"Loss",23,20,13,4,24,0.4359,0.5,0.2222,0.8636,36,21,21,11,6,21,0.5128,0.5397,0.4,0.7895,38
"135",135,"Win",21,11,9,6,13,0.5,0.5424,0.3913,0.64,48,19,18,3,6,22,0.4286,0.4407,0.3636,0.5,35
"136",136,"Loss",19,18,3,6,22,0.4286,0.4407,0.3636,0.5,35,21,11,9,6,13,0.5,0.5424,0.3913,0.64,48
"137",137,"Win",27,16,12,7,22,0.4878,0.4783,0.5385,0.8261,38,31,14,7,3,19,0.4868,0.5,0.4,0.7097,31
"138",138,"Loss",31,14,7,3,19,0.4868,0.5,0.4,0.7097,31,27,16,12,7,22,0.4878,0.4783,0.5385,0.8261,38
"139",139,"Win",22,15,8,2,22,0.4868,0.5556,0.3182,0.875,36,20,13,4,5,16,0.4198,0.4464,0.36,0.75,36
"140",140,"Loss",20,13,4,5,16,0.4198,0.4464,0.36,0.75,36,22,15,8,2,22,0.4868,0.5556,0.3182,0.875,36
"141",141,"Loss",17,20,4,3,28,0.4074,0.4717,0.2857,0.8696,50,17,9,12,4,21,0.4167,0.4355,0.3636,0.6842,43
"142",142,"Win",17,9,12,4,21,0.4167,0.4355,0.3636,0.6842,43,17,20,4,3,28,0.4074,0.4717,0.2857,0.8696,50
"143",143,"Loss",17,12,7,9,17,0.4819,0.5323,0.3333,0.6667,41,29,9,5,7,15,0.5181,0.5738,0.3636,0.619,40
"144",144,"Win",29,9,5,7,15,0.5181,0.5738,0.3636,0.619,40,17,12,7,9,17,0.4819,0.5323,0.3333,0.6667,41
"145",145,"Loss",18,13,7,4,21,0.4405,0.4848,0.2778,0.8824,37,23,16,7,5,16,0.5,0.541,0.2222,0.8571,34
"146",146,"Win",23,16,7,5,16,0.5,0.541,0.2222,0.8571,34,18,13,7,4,21,0.4405,0.4848,0.2778,0.8824,37
"147",147,"Loss",24,15,8,4,19,0.4138,0.4412,0.3158,0.7273,41,21,17,8,4,25,0.5352,0.5882,0.4,0.8077,38
"148",148,"Win",21,17,8,4,25,0.5352,0.5882,0.4,0.8077,38,24,15,8,4,19,0.4138,0.4412,0.3158,0.7273,41
"149",149,"Loss",17,20,5,6,17,0.4079,0.449,0.3333,0.9333,41,16,9,14,8,16,0.3723,0.3867,0.3158,0.7391,40
"150",150,"Win",16,9,14,8,16,0.3723,0.3867,0.3158,0.7391,40,17,20,5,6,17,0.4079,0.449,0.3333,0.9333,41
"151",151,"Loss",19,21,11,4,25,0.4805,0.5,0.4286,0.8148,39,21,17,12,6,19,0.4691,0.5,0.3529,0.7576,42
"152",152,"Win",21,17,12,6,19,0.4691,0.5,0.3529,0.7576,42,19,21,11,4,25,0.4805,0.5,0.4286,0.8148,39
"153",153,"Win",27,20,8,8,19,0.4861,0.5556,0.2778,0.8462,48,18,11,11,3,18,0.3516,0.3867,0.1875,0.7308,43
"154",154,"Loss",18,11,11,3,18,0.3516,0.3867,0.1875,0.7308,43,27,20,8,8,19,0.4861,0.5556,0.2778,0.8462,48
"155",155,"Loss",19,18,5,12,21,0.3678,0.4375,0.1739,0.7273,45,26,12,11,12,17,0.4348,0.4533,0.3529,0.72,53
"156",156,"Win",26,12,11,12,17,0.4348,0.4533,0.3529,0.72,53,19,18,5,12,21,0.3678,0.4375,0.1739,0.7273,45
"157",157,"Loss",12,19,5,3,25,0.3372,0.3607,0.28,0.6,47,22,16,9,6,14,0.4,0.4516,0.2857,0.75,58
"158",158,"Win",22,16,9,6,14,0.4,0.4516,0.2857,0.75,58,12,19,5,3,25,0.3372,0.3607,0.28,0.6,47
"159",159,"Win",21,15,8,4,19,0.4658,0.4746,0.4286,0.76,46,20,13,6,4,21,0.3797,0.3396,0.4615,0.6875,35
"160",160,"Loss",20,13,6,4,21,0.3797,0.3396,0.4615,0.6875,35,21,15,8,4,19,0.4658,0.4746,0.4286,0.76,46
"161",161,"Loss",26,12,5,5,21,0.443,0.4545,0.4167,0.7143,40,16,13,4,4,12,0.425,0.4219,0.4375,0.5833,48
"162",162,"Win",16,13,4,4,12,0.425,0.4219,0.4375,0.5833,48,26,12,5,5,21,0.443,0.4545,0.4167,0.7143,40
"163",163,"Loss",21,19,9,7,24,0.4051,0.3833,0.4737,0.8,43,15,18,12,6,24,0.4211,0.4933,0.15,0.6429,53
"164",164,"Win",15,18,12,6,24,0.4211,0.4933,0.15,0.6429,53,21,19,9,7,24,0.4051,0.3833,0.4737,0.8,43
"165",165,"Loss",17,18,8,9,16,0.4,0.4167,0.35,0.6875,45,23,15,10,3,17,0.4024,0.4286,0.3462,0.8077,42
"166",166,"Win",23,15,10,3,17,0.4024,0.4286,0.3462,0.8077,42,17,18,8,9,16,0.4,0.4167,0.35,0.6875,45
"167",167,"Loss",23,11,7,3,20,0.3882,0.4167,0.2308,0.7333,40,19,14,6,9,19,0.425,0.4179,0.4615,0.8125,47
"168",168,"Win",19,14,6,9,19,0.425,0.4179,0.4615,0.8125,47,23,11,7,3,20,0.3882,0.4167,0.2308,0.7333,40
"169",169,"Win",20,14,4,4,22,0.4444,0.4737,0.3333,0.7941,40,20,11,7,3,25,0.3977,0.4638,0.1579,0.7308,44
"170",170,"Loss",20,11,7,3,25,0.3977,0.4638,0.1579,0.7308,44,20,14,4,4,22,0.4444,0.4737,0.3333,0.7941,40
"171",171,"Loss",15,10,12,4,25,0.3678,0.3944,0.25,0.7647,37,22,18,3,7,18,0.4872,0.5625,0.1429,0.6667,52
"172",172,"Win",22,18,3,7,18,0.4872,0.5625,0.1429,0.6667,52,15,10,12,4,25,0.3678,0.3944,0.25,0.7647,37
"173",173,"Win",20,21,9,5,20,0.5714,0.6346,0.3889,0.8065,36,23,15,14,5,23,0.4719,0.4776,0.4545,0.7895,37
"174",174,"Loss",23,15,14,5,23,0.4719,0.4776,0.4545,0.7895,37,20,21,9,5,20,0.5714,0.6346,0.3889,0.8065,36
"175",175,"Win",30,15,9,9,21,0.3805,0.427,0.2083,0.5926,65,23,14,11,5,26,0.3824,0.3896,0.36,0.6087,54
"176",176,"Loss",23,14,11,5,26,0.3824,0.3896,0.36,0.6087,54,30,15,9,9,21,0.3805,0.427,0.2083,0.5926,65
"177",177,"Loss",22,12,6,4,22,0.3614,0.4085,0.0833,0.7222,41,20,15,5,8,17,0.3718,0.4074,0.2917,0.68,55
"178",178,"Win",20,15,5,8,17,0.3718,0.4074,0.2917,0.68,55,22,12,6,4,22,0.3614,0.4085,0.0833,0.7222,41
"179",179,"Loss",20,22,3,9,12,0.4167,0.4468,0.36,0.4375,41,21,15,12,6,22,0.4634,0.4925,0.3333,1,38
"180",180,"Win",21,15,12,6,22,0.4634,0.4925,0.3333,1,38,20,22,3,9,12,0.4167,0.4468,0.36,0.4375,41
"181",181,"Loss",18,14,8,6,16,0.3797,0.4063,0.2667,0.6111,43,26,15,8,4,22,0.4419,0.3871,0.5833,0.875,43
"182",182,"Win",26,15,8,4,22,0.4419,0.3871,0.5833,0.875,43,18,14,8,6,16,0.3797,0.4063,0.2667,0.6111,43
"183",183,"Loss",19,15,11,0,19,0.4096,0.45,0.3043,0.6957,36,20,21,7,10,22,0.5479,0.569,0.4667,0.8636,41
"184",184,"Win",20,21,7,10,22,0.5479,0.569,0.4667,0.8636,41,19,15,11,0,19,0.4096,0.45,0.3043,0.6957,36
"185",185,"Loss",20,13,10,5,24,0.4,0.4328,0.3043,0.7857,39,23,18,6,7,13,0.4444,0.5,0.32,0.7667,50
"186",186,"Win",23,18,6,7,13,0.4444,0.5,0.32,0.7667,50,20,13,10,5,24,0.4,0.4328,0.3043,0.7857,39
"187",187,"Win",25,23,8,7,19,0.5125,0.5667,0.35,0.8889,48,22,15,13,3,14,0.4353,0.4426,0.4167,0.75,31
"188",188,"Loss",22,15,13,3,14,0.4353,0.4426,0.4167,0.75,31,25,23,8,7,19,0.5125,0.5667,0.35,0.8889,48
"189",189,"Win",30,18,10,11,26,0.4946,0.4776,0.5385,0.7907,46,31,18,13,5,31,0.4722,0.5119,0.3333,0.7667,52
"190",190,"Loss",31,18,13,5,31,0.4722,0.5119,0.3333,0.7667,52,30,18,10,11,26,0.4946,0.4776,0.5385,0.7907,46
"191",191,"Win",10,14,7,12,20,0.3699,0.4127,0.1,0.881,44,22,12,8,7,28,0.3976,0.4091,0.3529,0.6667,39
"192",192,"Loss",22,12,8,7,28,0.3976,0.4091,0.3529,0.6667,39,10,14,7,12,20,0.3699,0.4127,0.1,0.881,44
