"","X","teamRslt","teamAST","teamTO","teamSTL","teamBLK","teamPF","teamFG.","team2P.","team3P.","teamFT.","teamTRB","opptAST","opptTO","opptSTL","opptBLK","opptPF","opptFG.","oppt2P.","oppt3P.","opptFT.","opptTRB"
"8337",8337,"Loss",20,12,9,0,18,0.4074,0.4194,0.3684,0.75,37,20,15,6,4,19,0.5122,0.5091,0.5185,0.8,52
"8338",8338,"Win",20,15,6,4,19,0.5122,0.5091,0.5185,0.8,52,20,12,9,0,18,0.4074,0.4194,0.3684,0.75,37
"8339",8339,"Loss",18,15,6,3,23,0.3951,0.4286,0.2778,0.5556,36,26,13,13,5,16,0.5658,0.5968,0.4286,0.6061,46
"8340",8340,"Win",26,13,13,5,16,0.5658,0.5968,0.4286,0.6061,46,18,15,6,3,23,0.3951,0.4286,0.2778,0.5556,36
"8341",8341,"Loss",20,14,9,5,16,0.4253,0.4167,0.4444,0.8947,44,22,15,8,6,18,0.4713,0.5273,0.375,0.8,47
"8342",8342,"Win",22,15,8,6,18,0.4713,0.5273,0.375,0.8,47,20,14,9,5,16,0.4253,0.4167,0.4444,0.8947,44
"8343",8343,"Win",23,13,10,9,28,0.4255,0.4921,0.2903,0.6176,53,23,22,5,5,26,0.4865,0.5714,0.32,0.6098,46
"8344",8344,"Loss",23,22,5,5,26,0.4865,0.5714,0.32,0.6098,46,23,13,10,9,28,0.4255,0.4921,0.2903,0.6176,53
"8345",8345,"Loss",22,16,9,3,24,0.407,0.4167,0.3571,0.7895,36,24,17,7,3,16,0.4767,0.5294,0.4,0.6786,52
"8346",8346,"Win",24,17,7,3,16,0.4767,0.5294,0.4,0.6786,52,22,16,9,3,24,0.407,0.4167,0.3571,0.7895,36
"8347",8347,"Win",18,17,12,10,25,0.5844,0.619,0.4286,0.6857,34,27,20,9,6,25,0.5,0.5385,0.4333,0.8077,35
"8348",8348,"Loss",27,20,9,6,25,0.5,0.5385,0.4333,0.8077,35,18,17,12,10,25,0.5844,0.619,0.4286,0.6857,34
"8349",8349,"Win",35,18,8,5,20,0.5119,0.5246,0.4783,0.6296,43,21,15,13,5,22,0.4615,0.5,0.4,0.8966,33
"8350",8350,"Loss",21,15,13,5,22,0.4615,0.5,0.4,0.8966,33,35,18,8,5,20,0.5119,0.5246,0.4783,0.6296,43
